Age,Items Purchased,Total Spent,Discount (%),Satisfaction Score,Warranty Extension,Gender,Region,Product Category,Payment Method,Revenue,Store Rating,Loyalty Score,Membership Status,Preferred Visit Time
56,1,29.22619512832253,47.077380487167744,1.0,1,Male,South,Accessories,UPI,149.25214544245256,3.660460660029609,3.597132925783387,1,Evening
69,10,420.1426123305384,7.985738766946156,3.760294242770757,1,Female,South,Accessories,Cash,1485.5242216019883,3.5515529996410224,25.764902814644604,1,Evening
46,4,127.74281703899626,37.225718296100375,1.771240297223186,1,Male,East,Laptop,Credit Card,85.55013080582287,3.922839150578433,7.022398757899472,1,Morning
32,9,417.7226828544565,8.227731714554352,1.926831173069118,0,Female,East,Tablet,UPI,824.1187237345282,3.860421671338772,7.635412265230975,1,Afternoon
60,13,608.0313658608313,5.0,3.9029268376556288,0,Female,South,Tablet,UPI,2463.5903923966634,3.8128199420146447,29.46111933533826,0,Morning
25,14,252.8342358568311,24.71657641431689,3.651287618220577,0,Male,North,Television,Credit Card,737.4478714341535,4.523953239860814,16.914974997565103,0,Morning
38,10,477.772665958579,5.0,5.0,0,Female,East,Accessories,Cash,2402.374713346383,4.132269594672551,31.950416456022623,0,Morning
56,6,263.36231671928726,23.663768328071274,2.3581410464170185,1,Female,North,Television,UPI,554.9476545577361,4.351833240551988,13.261174402684478,0,Afternoon
36,6,256.17525000566,24.382474999434,4.12215594242875,0,Other,West,Laptop,Net Banking,879.5535705970852,3.8991517682052974,27.679301032009825,0,Morning
40,1,22.031896888993288,47.79681031110067,1.0,0,Female,North,Mobile,Credit Card,-18.808963505760765,4.728712676821912,4.476382960819547,0,Morning
28,10,431.7917230641327,6.820827693586729,3.606047396467386,0,Male,East,Tablet,Debit Card,1549.9384425285864,4.023306681139662,20.7239681266274,0,Evening
28,2,89.50929142795258,41.04907085720474,4.190848125846872,0,Female,South,Laptop,UPI,124.96091809631989,3.9451223543046825,24.512128315519902,1,Afternoon
41,11,276.3228787648481,22.36771212351519,2.899873047528116,0,Female,West,Tablet,Net Banking,708.2028747456043,4.119726846653145,20.98191331521475,0,Evening
53,6,289.974616456088,21.0025383543912,3.1523711937348784,0,Female,North,Television,Cash,909.3749078476936,4.189775619252783,23.520492837676635,0,Evening
57,2,33.4902102479415,46.65097897520585,4.946795274414894,0,Female,South,Mobile,Cash,318.77636294350185,3.841492405876424,17.53295777136232,0,Morning
41,3,60.74047159094966,43.92595284090503,1.0,1,Male,West,Accessories,Credit Card,-20.167314781245167,3.786031799985009,0.0,1,Morning
20,4,135.261359327212,36.4738640672788,2.945474326556341,0,Male,North,Tablet,Net Banking,347.2671444671193,4.203600318118077,12.812629933297671,1,Morning
39,11,386.6801013820892,11.33198986179108,5.0,0,Female,South,Accessories,Credit Card,1693.7792034764657,4.092689261951475,25.513596013030444,0,Evening
19,5,187.90126457765808,31.20987354223419,1.2292967927794884,0,Female,West,Television,UPI,222.94765633459832,4.132783353654236,6.546005659407463,0,Afternoon
41,9,140.34527573437194,35.965472426562805,3.122714331053412,0,Male,East,Tablet,Credit Card,522.8526538785003,4.137510691699098,17.169334426518848,0,Afternoon
61,12,583.3540453412947,5.0,3.869501458991138,0,Other,North,Television,Debit Card,2282.200007041085,4.38206071927539,25.75564354609504,1,Evening
47,4,66.24233298278016,43.37576670172199,1.0,0,Female,North,Accessories,Credit Card,22.26378281191332,4.192512254766603,7.3238638975819,0,Evening
55,13,260.0931884891481,23.99068115108519,3.370864716986749,1,Female,West,Television,Credit Card,645.521379387415,4.089632370697833,17.362474943110556,1,Afternoon
19,11,170.39558924753194,32.960441075246806,3.3010892386965,0,Female,North,Television,UPI,428.787946887251,4.169539635697081,17.939292821384768,1,Morning
38,9,313.56040648763985,18.643959351236013,5.0,1,Female,South,Television,Net Banking,1334.000936289316,3.473317317773538,27.94785548034715,0,Afternoon
50,11,523.9227503095743,5.0,5.0,1,Female,North,Laptop,Debit Card,2551.922887651898,4.566489208442174,30.289842937763048,1,Evening
29,10,383.0815081281625,11.691849187183749,3.695921964171261,0,Female,North,Laptop,Credit Card,1151.3810115497597,4.159145052086587,20.793770851244105,1,Morning
39,3,131.37903419044486,36.86209658095552,3.701013852249624,0,Male,South,Tablet,UPI,556.9092650061125,4.010857083737981,20.45701612106133,0,Morning
61,8,123.71873696840242,37.62812630315976,1.0,0,Male,South,Television,UPI,336.9542972262666,3.727451571685072,3.125274748022904,0,Afternoon
42,12,407.6464253614849,9.235357463851514,5.0,0,Male,East,Television,UPI,1947.9272413202143,3.461973431635784,34.23813511982128,0,Morning
66,1,31.084704212693268,46.89152957873068,1.0,1,Male,South,Television,Net Banking,-20.50553032847763,3.785437378314908,2.674219377246277,0,Evening
44,11,357.1026585250054,14.28973414749946,4.462382399413902,0,Male,North,Laptop,Credit Card,1353.1202273530666,3.8316637583123874,27.069073067490088,1,Afternoon
59,9,157.7471533805842,34.22528466194158,2.424487281849917,0,Female,West,Accessories,Cash,207.36668371858784,4.051071604512764,12.726477300161378,0,Evening
45,9,350.5971387368318,14.94028612631682,1.0,0,Female,North,Television,Debit Card,245.0010879620069,4.154160440247288,7.031360730988691,0,Evening
33,10,326.1271452005221,17.387285479947792,1.013027734283674,0,Male,East,Mobile,Cash,259.5268163744167,4.243773504282847,3.7902487282423714,0,Evening
32,2,83.56041949028848,41.64395805097115,1.0406870745379295,0,Female,West,Tablet,Net Banking,142.97807768658396,3.9466657451638176,4.413738967206863,0,Afternoon
64,4,127.94068876864014,37.20593112313598,1.0,0,Female,East,Laptop,Credit Card,143.1853976883516,3.793981231425245,5.552528881142475,0,Evening
68,13,262.9686444830266,23.70313555169734,4.2921086512297775,1,Male,North,Accessories,Cash,1063.57662791404,4.333959536506369,22.353814761036347,0,Evening
61,8,301.5119471417902,19.84880528582098,4.758231403994186,0,Female,South,Mobile,Cash,1047.5773637833013,3.4880803730927585,28.83112935034676,0,Morning
69,7,147.23465871576573,35.27653412842343,2.126687692913238,0,Male,West,Television,Cash,164.57838113354623,3.838580821932218,17.120288391148307,0,Morning
20,1,45.53380971741852,45.44661902825815,1.0,0,Female,North,Laptop,Debit Card,-125.1713498779322,3.827213119187882,5.24303872240291,0,Evening
54,5,182.2953418371173,31.770465816288272,4.5832312961082025,0,Male,West,Television,Credit Card,634.5276462781247,3.970018201621012,26.274160820446227,1,Morning
68,7,143.5149514714538,35.64850485285462,5.0,0,Female,East,Tablet,UPI,671.8342000177003,4.049461969377773,30.152627612069548,1,Afternoon
24,4,194.72732804736896,30.527267195263104,2.241426935365637,0,Female,North,Laptop,Credit Card,305.9809122861556,4.225225346457423,9.945222195087606,0,Morning
38,1,33.14279121673622,46.68572087832638,1.3524986690698348,0,Male,West,Mobile,Cash,210.44109256946464,3.712828057223649,12.412652210031986,0,Afternoon
26,9,157.96301233957132,34.20369876604287,1.983107432987801,1,Other,North,Accessories,Credit Card,325.4885166381129,4.470480866980777,7.537172140583754,0,Afternoon
56,14,517.1481231633829,5.0,5.0,0,Male,North,Accessories,UPI,2593.131497084469,4.381741557869923,30.16780665825508,0,Morning
35,5,119.3098087272418,38.06901912727582,1.0,0,Female,East,Tablet,Debit Card,182.4797899137577,4.046809908296068,8.215758528323894,0,Morning
21,11,474.4219789727614,5.0,4.675091310040007,0,Female,East,Accessories,Credit Card,2337.389583020268,3.883831160309655,32.75633480881385,0,Afternoon
42,2,87.24754514963334,41.27524548503666,2.6839106524910643,0,Female,East,Accessories,Credit Card,167.49216945158005,3.930026536261282,14.261276883081246,0,Evening
31,8,394.1052596393053,10.589474036069468,5.0,1,Male,South,Tablet,Debit Card,1880.5379187740184,3.79693068089968,29.251059871658565,0,Evening
67,11,358.21976944443395,14.178023055556608,1.0,1,Male,West,Mobile,Debit Card,541.979497049523,3.679812430588944,13.473051178542756,0,Evening
26,13,402.0053802761204,9.79946197238796,3.8124288339552703,1,Female,East,Laptop,Cash,1330.0981233970238,4.170624105733204,18.57128968349867,0,Evening
43,2,82.74329238125364,41.72567076187464,1.0,0,Male,South,Laptop,Cash,76.70268886181506,4.051867039663878,2.808252879683411,0,Morning
19,3,58.909418915902286,44.10905810840977,3.7731439863111897,1,Female,South,Tablet,Debit Card,231.70860953587663,4.141814991620958,15.78065076828653,0,Morning
37,14,477.9886017586309,5.0,3.604410078946513,1,Female,West,Television,UPI,1600.852873503812,3.8312629973069097,19.547678393697986,0,Afternoon
45,10,341.1866600457978,15.88133399542022,1.0,0,Female,West,Tablet,Cash,246.9303924142856,4.175453534305361,5.638620102957054,0,Afternoon
64,1,18.131559298363552,48.186844070163644,1.4576895906807823,0,Male,East,Tablet,UPI,266.69130217316984,4.287781957899759,11.1681287570268,0,Evening
24,11,325.9238729201617,17.40761270798383,5.0,0,Female,South,Tablet,Debit Card,1314.7370984461545,3.673581325341219,32.8199158166945,0,Afternoon
61,2,89.72993589970415,41.02700641002959,2.224495096118567,0,Female,West,Tablet,Credit Card,131.06990868105578,3.699243033800131,13.161435378995993,0,Morning
25,14,629.5152747773834,5.0,5.0,1,Female,West,Accessories,Debit Card,3061.7895847612003,4.11731923821324,34.23646417259938,0,Evening
64,7,129.31322790532184,37.068677209467815,2.111414124605206,0,Female,West,Accessories,Debit Card,264.6943968109784,3.790296557557656,14.3026382713871,1,Evening
52,10,181.7523089617408,31.82476910382592,4.647204415268517,0,Male,West,Mobile,Net Banking,571.311941195937,3.75321805186454,25.058840499803715,0,Evening
31,2,48.38868339013547,45.161131660986456,1.0,0,Male,South,Tablet,Debit Card,55.74539542315839,3.963270545510185,8.264041907605014,0,Afternoon
34,6,273.70087313633866,22.629912686366133,2.5133145231907608,0,Male,North,Laptop,Cash,482.0440134658541,3.922816263301741,17.575246851189277,0,Evening
53,3,58.534771432717385,44.14652285672826,1.0,0,Female,West,Television,Credit Card,27.318485037377503,3.810835432097313,7.524578311765688,0,Morning
67,4,160.79955236784247,33.92004476321576,1.0,0,Male,South,Accessories,UPI,225.7897630858085,3.4271906266015466,6.876330296628879,0,Evening
57,11,203.94876355104475,29.605123644895524,1.382737116676843,1,Female,West,Laptop,Net Banking,339.16412207982,3.731854025623428,9.515267820461773,0,Afternoon
21,13,478.52772345526057,5.0,5.0,1,Female,South,Accessories,Cash,2424.8232294873783,3.668508586823863,29.276549311416208,0,Afternoon
19,8,219.69884375336056,28.030115624663942,3.3301927343190565,1,Female,East,Mobile,Credit Card,576.0747198630628,3.849957236124242,13.568414825362698,0,Evening
23,14,596.5678418532748,5.0,5.0,1,Male,North,Television,UPI,2864.025065311613,4.11398283024997,30.773870094476155,0,Evening
59,3,69.53749712666318,43.046250287333685,1.0,0,Female,South,Accessories,Credit Card,-41.17094470000703,3.389142685312581,5.856992106278757,1,Afternoon
21,10,373.720640286486,12.627935971351404,4.7838539683220365,0,Female,South,Television,Cash,1576.4703858052687,3.59868585477296,24.9741806454376,1,Morning
46,6,139.49333226093586,36.050666773906414,1.0,0,Male,South,Television,Credit Card,156.5485236522882,4.06897312427293,4.95712604472464,0,Morning
35,1,39.97810990892538,46.00218900910746,1.0,1,Male,West,Laptop,Debit Card,180.3976036222861,3.9596357013928807,7.50271848810141,1,Evening
43,7,319.05111846738345,18.094888153261657,3.574519658611188,0,Female,East,Accessories,Credit Card,790.7736704330198,3.897527088402726,23.69323835840856,1,Evening
61,8,155.5045037554928,34.44954962445072,2.1100767553187083,0,Male,West,Television,Debit Card,231.4045922183994,3.7689245862653937,7.124220356267763,0,Evening
51,11,498.6393401092689,5.0,5.0,0,Male,East,Tablet,Cash,2191.954570453888,4.15304170437302,27.898522323725743,0,Afternoon
27,14,500.851874663006,5.0,4.731848182597305,0,Male,North,Television,Net Banking,2141.086196088731,4.217175904928435,31.05630855280686,1,Afternoon
53,8,155.59093744276672,34.44090625572333,1.0,0,Male,West,Television,Debit Card,283.75036464615204,3.6755825807158367,2.7613252841718445,1,Evening
31,3,89.89189481276976,41.01081051872302,5.0,0,Female,South,Accessories,Credit Card,184.958959002946,3.693286459914403,25.50771904998053,0,Afternoon
48,14,288.821543807698,21.1178456192302,4.701789983941778,0,Female,North,Tablet,Credit Card,1132.009855393179,3.9526409502843687,22.661599358054108,1,Afternoon
65,10,395.1217611032993,10.487823889670068,4.777512562938238,0,Female,West,Television,Credit Card,1842.338379544376,3.761485682660232,25.1706133040606,0,Morning
32,1,41.56038470462824,45.843961529537175,1.0,0,Female,East,Accessories,Cash,25.702042728299546,4.137016637290089,6.473933483241414,0,Afternoon
25,9,168.3259038859317,33.16740961140683,1.0,1,Female,West,Accessories,UPI,40.08571873924511,4.016954726125482,8.565936711671439,0,Evening
31,13,425.2936329760632,7.4706367023936835,3.991335142306721,0,Female,West,Television,Credit Card,1632.5915720361309,4.105829620246497,27.35277964951672,0,Morning
40,6,261.0712617654426,23.892873823455737,3.196370304827793,0,Male,South,Mobile,Credit Card,841.0823873776785,3.8284349994027314,26.982302015804,0,Afternoon
57,11,525.4227709971336,5.0,1.4933566218451737,1,Female,South,Mobile,Debit Card,894.6871422742133,3.4981740082607304,12.152346867203152,0,Morning
38,9,296.7581280236576,20.32418719763424,1.0,0,Male,North,Laptop,Net Banking,261.6069407341319,3.950866359448771,7.551846400374473,0,Afternoon
33,7,337.8184097847948,16.21815902152052,2.1044193199700327,1,Male,South,Mobile,Credit Card,589.914093347144,3.8948167912112783,17.741938926931667,0,Afternoon
62,1,33.749113965961044,46.625088603403896,1.0,1,Male,West,Mobile,Cash,183.6539106825872,3.920351482457308,8.716057186497105,0,Morning
35,12,345.5600077319613,15.443999226803868,2.9770537830159105,1,Male,West,Accessories,UPI,773.7268584552351,3.668165343752203,19.97473238038473,0,Afternoon
64,12,536.2453139922161,5.0,5.0,1,Male,East,Accessories,UPI,2690.862824964437,3.9315300686562993,29.20676746964788,0,Evening
41,1,32.25439486603312,46.774560513396686,1.0,0,Male,West,Television,UPI,14.116063891600362,4.279955643158623,7.5460589630649935,0,Afternoon
43,6,189.09952721854984,31.09004727814501,1.0,1,Female,North,Television,Cash,31.59222308456674,4.386316497194379,5.124013310220103,0,Morning
42,5,160.80468564671995,33.919531435328004,4.648230338449402,1,Male,North,Accessories,UPI,367.2726036539348,4.49972270775216,22.87053008145641,0,Morning
62,9,401.7372755889698,9.826272441103022,4.279611405239992,0,Female,South,Television,UPI,1763.8491541770825,3.56415485124515,26.24661426117056,0,Afternoon
58,2,88.23590791816365,41.17640920818364,2.652044244783953,0,Female,East,Accessories,Debit Card,167.53706137143115,4.334078946148623,20.34925322965822,0,Evening
46,8,232.98559788325912,26.70144021167409,5.0,0,Female,West,Mobile,UPI,814.4519162392228,3.795961500611774,26.477261122119,0,Afternoon
32,11,293.32044605015216,20.667955394984784,1.5455956246978766,1,Male,South,Television,Debit Card,405.2852633222137,4.114441857859826,10.837208822165126,1,Afternoon
62,5,161.08740420684762,33.89125957931524,1.412245366484412,0,Female,West,Mobile,Debit Card,143.1672167963201,3.971660557321847,3.94373007813745,0,Afternoon
18,2,70.09407568159763,42.99059243184024,1.0,0,Male,North,Laptop,Debit Card,36.12598190547862,4.325699139265237,2.985560566722547,1,Afternoon
42,13,303.44343083573864,19.65565691642613,1.0,0,Female,North,Television,Cash,244.1737428508308,4.338930290040474,9.12538919441681,0,Evening
24,10,427.88427965045673,7.2115720349543295,3.658049188992629,0,Female,East,Accessories,Credit Card,1503.1747883045675,4.019759756065715,24.00567333423692,0,Afternoon
26,11,352.2958648069828,14.77041351930172,5.0,1,Male,West,Accessories,Net Banking,1627.0433987959889,4.016689701269694,34.34400344077778,0,Evening
41,11,293.6075361416845,20.63924638583155,4.017254445041326,0,Male,West,Laptop,UPI,833.164772206577,3.6962368369022505,19.881562725268044,1,Afternoon
18,12,224.86481704487605,27.513518295512394,3.486814509224781,0,Male,North,Accessories,Net Banking,753.3834158033953,4.174212442900508,20.095649766550927,0,Evening
61,6,140.15748368475747,35.98425163152425,1.0,0,Female,East,Mobile,Credit Card,45.2236730565259,4.156139065504199,5.040741729798357,0,Afternoon
25,10,482.2484101145943,5.0,3.5102896291346606,0,Female,South,Accessories,Debit Card,1683.8086334733048,3.8217727421454057,23.22713565137196,0,Morning
41,8,205.42791230946744,29.457208769053256,4.592790466891916,0,Female,East,Laptop,Debit Card,709.7475739049187,3.929849594862772,23.412456170802848,1,Afternoon
28,4,83.64030051138494,41.63596994886151,1.0,0,Male,South,Tablet,Debit Card,18.12426401068997,3.8467506562783953,0.6346478580856498,0,Afternoon
68,2,62.24709541584952,43.77529045841505,1.2106350317449237,0,Male,South,Tablet,Debit Card,205.901748053301,3.527195902266627,8.600841704224761,0,Morning
34,12,308.9768522113044,19.10231477886956,3.4164378834681206,1,Male,North,Mobile,UPI,824.53982379531,4.409222095506567,17.945679687573424,0,Morning
25,11,178.53631135440978,32.14636886455902,4.708797146058334,0,Female,South,Tablet,Credit Card,762.3199558500804,3.384214348156956,24.627860182278454,0,Afternoon
52,5,131.55041302389802,36.8449586976102,3.2583288455837,1,Male,West,Accessories,Credit Card,387.5066657850403,3.895007596989532,17.810118727292696,0,Evening
